0.001203	-0.010668	0.023658	-0.025965	-0.042139	
-0.067819	0.053318	-0.040784	-0.045602	-0.136615	
-0.040337	0.023728	-0.012270	-0.017592	-0.108737	
0.059967	0.043288	-0.008033	0.022501	-0.026628	
0.048632	0.041490	0.034958	0.027532	0.046368	
0.087259	-0.000596	-0.031691	0.046177	0.048864	
0.031472	0.014826	-0.054379	0.040815	0.080102	
0.055155	-0.013656	0.003266	0.085155	0.155268	
0.104737	-0.026005	0.021010	0.044696	0.039540	
0.040464	-0.033173	-0.063294	0.038795	0.047347	
-0.034954	0.033822	-0.019333	-0.012682	-0.021746	
-0.002850	-0.010041	-0.054290	-0.102024	-0.132598	
0.027609	0.034491	-0.013948	-0.058381	-0.004605	
0.014754	-0.039756	0.002295	-0.082683	-0.053963	
-0.018174	-0.015933	-0.007857	-0.089194	-0.034001	
-0.001773	-0.056327	-0.054379	-0.101119	-0.022181	
-0.087829	-0.137553	-0.085099	-0.100005	-0.108737	
-0.061170	-0.153581	-0.015625	-0.104130	-0.062422	
-0.096695	-0.065793	0.000530	-0.163773	-0.119583	
-0.064653	-0.014805	0.029838	-0.135518	-0.110797	
0.028495	-0.011859	0.006621	-0.093859	-0.015565	
0.029762	-0.110261	-0.047228	-0.171032	-0.139540	
-0.032168	-0.086607	-0.013330	-0.015119	-0.105268	
-0.024823	-0.103135	-0.085982	-0.021509	-0.019251	
0.030775	-0.066441	-0.055879	0.025304	0.090513	
0.085993	0.083576	-0.030809	0.022623	0.061662	
0.093845	0.015432	0.044492	0.022831	0.113727	
0.169580	0.091245	0.030102	0.122358	0.120882	
0.068642	0.146977	0.138859	0.127720	0.120773	
0.075038	0.096136	0.083422	0.137050	0.092796	
0.092515	0.194454	0.089778	0.075667	0.063831	
0.018427	0.248452	0.181144	0.104130	0.089105	
-0.010195	0.106103	0.058086	0.215703	0.199413	
0.049772	0.113814	0.050053	0.158080	0.117196	
0.025456	0.122716	0.105403	0.150037	0.124030	
-0.056611	0.078790	0.157309	0.157088	0.123051	
-0.010575	0.081863	0.079537	0.125003	0.087479	
0.048696	0.036768	0.017037	0.070183	0.046803	
-0.065793	-0.053924	-0.038224	-0.023406	-0.025976	
-0.096251	-0.046276	-0.045463	0.019942	-0.033897	
-0.102774	-0.019591	-0.007150	0.008104	-0.004936	
-0.032738	0.002936	0.081744	0.027201	0.026085	
-0.013108	-0.043894	-0.011388	-0.054881	-0.020338	
0.015514	0.022558	0.052083	-0.024520	-0.063939	
